Station,Year,Month,Day,Rainfall
10120,2007,1,1,0
10120,2007,1,2,0
10120,2007,1,3,0
10120,2007,1,4,0
10120,2007,1,5,0
10120,2007,1,6,0
10120,2007,1,7,0
10120,2007,1,8,0
10120,2007,1,9,0
10120,2007,1,10,0
10120,2007,1,11,0
10120,2007,1,12,0
10120,2007,1,13,0
10120,2007,1,14,0
10120,2007,1,15,0
10120,2007,1,16,0
10120,2007,1,17,0
10120,2007,1,18,0
10120,2007,1,19,0
10120,2007,1,20,0
10120,2007,1,21,0
10120,2007,1,22,0
10120,2007,1,23,0
10120,2007,1,24,0
10120,2007,1,25,0
10120,2007,1,26,0
10120,2007,1,27,0
10120,2007,1,28,0
10120,2007,1,29,0
10120,2007,1,30,0
10120,2007,1,31,0
10120,2007,2,1,0
10120,2007,2,2,0
10120,2007,2,3,0
10120,2007,2,4,0
10120,2007,2,5,0
10120,2007,2,6,0
10120,2007,2,7,0
10120,2007,2,8,0
10120,2007,2,9,0
10120,2007,2,10,0
10120,2007,2,11,0
10120,2007,2,12,4
10120,2007,2,13,0
10120,2007,2,14,0
10120,2007,2,15,25
10120,2007,2,16,0
10120,2007,2,17,0
10120,2007,2,18,0
10120,2007,2,19,0
10120,2007,2,20,0
10120,2007,2,21,0
10120,2007,2,22,0
10120,2007,2,23,0
10120,2007,2,24,0
10120,2007,2,25,0
10120,2007,2,26,1
10120,2007,2,27,0
10120,2007,2,28,0
10120,2007,3,1,0
10120,2007,3,2,0
10120,2007,3,3,0
10120,2007,3,4,0
10120,2007,3,5,0
10120,2007,3,6,0
10120,2007,3,7,0
10120,2007,3,8,0
10120,2007,3,9,0
10120,2007,3,10,0
10120,2007,3,11,0
10120,2007,3,12,0
10120,2007,3,13,0
10120,2007,3,14,1
10120,2007,3,15,1
10120,2007,3,16,0
10120,2007,3,17,0
10120,2007,3,18,0
10120,2007,3,19,0
10120,2007,3,20,0
10120,2007,3,21,0
10120,2007,3,22,0
10120,2007,3,23,0
10120,2007,3,24,0
10120,2007,3,25,0
10120,2007,3,26,0
10120,2007,3,27,0
10120,2007,3,28,0
10120,2007,3,29,0
10120,2007,3,30,0
10120,2007,3,31,0
10120,2007,4,1,0
10120,2007,4,2,0
10120,2007,4,3,0
10120,2007,4,4,0
10120,2007,4,5,0
10120,2007,4,6,0
10120,2007,4,7,0
10120,2007,4,8,0
10120,2007,4,9,0
10120,2007,4,10,1
10120,2007,4,11,0
10120,2007,4,12,0
10120,2007,4,13,0
10120,2007,4,14,0
10120,2007,4,15,0
10120,2007,4,16,2
10120,2007,4,17,0
10120,2007,4,18,2
10120,2007,4,19,0
10120,2007,4,20,0
10120,2007,4,21,3
10120,2007,4,22,4
10120,2007,4,23,0
10120,2007,4,24,0
10120,2007,4,25,15
10120,2007,4,26,2
10120,2007,4,27,2
10120,2007,4,28,2
10120,2007,4,29,0
10120,2007,4,30,0
10120,2007,5,1,0
10120,2007,5,2,4
10120,2007,5,3,4
10120,2007,5,4,0
10120,2007,5,5,0
10120,2007,5,6,0
10120,2007,5,7,0
10120,2007,5,8,9
10120,2007,5,9,16
10120,2007,5,10,25
10120,2007,5,11,0
10120,2007,5,12,33
10120,2007,5,13,8
10120,2007,5,14,0
10120,2007,5,15,0
10120,2007,5,16,0
10120,2007,5,17,0
10120,2007,5,18,0
10120,2007,5,19,0
10120,2007,5,20,5
10120,2007,5,21,3
10120,2007,5,22,13
10120,2007,5,23,0
10120,2007,5,24,0
10120,2007,5,25,0
10120,2007,5,26,0
10120,2007,5,27,0
10120,2007,5,28,1
10120,2007,5,29,0
10120,2007,5,30,0
10120,2007,5,31,0
10120,2007,6,1,0
10120,2007,6,2,0
10120,2007,6,3,14
10120,2007,6,4,10
10120,2007,6,5,18
10120,2007,6,6,1
10120,2007,6,7,2
10120,2007,6,8,24
10120,2007,6,9,1
10120,2007,6,10,97
10120,2007,6,11,39
10120,2007,6,12,0
10120,2007,6,13,0
10120,2007,6,14,0
10120,2007,6,15,0
10120,2007,6,16,54
10120,2007,6,17,12
10120,2007,6,18,6
10120,2007,6,19,105
10120,2007,6,20,40
10120,2007,6,21,0
10120,2007,6,22,0
10120,2007,6,23,32
10120,2007,6,24,0
10120,2007,6,25,0
10120,2007,6,26,0
10120,2007,6,27,4
10120,2007,6,28,14
10120,2007,6,29,1
10120,2007,6,30,0
10120,2007,7,1,0
10120,2007,7,2,8
10120,2007,7,3,0
10120,2007,7,4,0
10120,2007,7,5,34
