Station,Year,Month,Day,Rainfall
10120,1981,1,1,0
10120,1981,1,2,0
10120,1981,1,3,0
10120,1981,1,4,0
10120,1981,1,5,0
10120,1981,1,6,0
10120,1981,1,7,0
10120,1981,1,8,12
10120,1981,1,9,0
10120,1981,1,10,0
10120,1981,1,11,0
10120,1981,1,12,0
10120,1981,1,13,0
10120,1981,1,14,0
10120,1981,1,15,0
10120,1981,1,16,0
10120,1981,1,17,0
10120,1981,1,18,0
10120,1981,1,19,0
10120,1981,1,20,0
10120,1981,1,21,0
10120,1981,1,22,0
10120,1981,1,23,0
10120,1981,1,24,0
10120,1981,1,25,15
10120,1981,1,26,0
10120,1981,1,27,0
10120,1981,1,28,0
10120,1981,1,29,0
10120,1981,1,30,0
10120,1981,1,31,0
10120,1981,2,1,0
10120,1981,2,2,0
10120,1981,2,3,0
10120,1981,2,4,0
10120,1981,2,5,0
10120,1981,2,6,0
10120,1981,2,7,0
10120,1981,2,8,0
10120,1981,2,9,0
10120,1981,2,10,34
10120,1981,2,11,13
10120,1981,2,12,0
10120,1981,2,13,0
10120,1981,2,14,0
10120,1981,2,15,0
10120,1981,2,16,0
10120,1981,2,17,0
10120,1981,2,18,0
10120,1981,2,19,0
10120,1981,2,20,0
10120,1981,2,21,0
10120,1981,2,22,0
10120,1981,2,23,0
10120,1981,2,24,0
10120,1981,2,25,0
10120,1981,2,26,0
10120,1981,2,27,0
10120,1981,2,28,0
10120,1981,3,1,0
10120,1981,3,2,0
10120,1981,3,3,0
10120,1981,3,4,0
10120,1981,3,5,0
10120,1981,3,6,0
10120,1981,3,7,0
10120,1981,3,8,0
10120,1981,3,9,0
10120,1981,3,10,0
10120,1981,3,11,0
10120,1981,3,12,0
10120,1981,3,13,0
10120,1981,3,14,0
10120,1981,3,15,0
10120,1981,3,16,0
10120,1981,3,17,0
10120,1981,3,18,0
10120,1981,3,19,0
10120,1981,3,20,0
10120,1981,3,21,0
10120,1981,3,22,0
10120,1981,3,23,0
10120,1981,3,24,0
10120,1981,3,25,0
10120,1981,3,26,0
10120,1981,3,27,0
10120,1981,3,28,0
10120,1981,3,29,0
10120,1981,3,30,0
10120,1981,3,31,0
10120,1981,4,1,0
10120,1981,4,2,0
10120,1981,4,3,0
10120,1981,4,4,0
10120,1981,4,5,0
10120,1981,4,6,0
10120,1981,4,7,0
10120,1981,4,8,0
10120,1981,4,9,0
10120,1981,4,10,0
10120,1981,4,11,0
10120,1981,4,12,10
10120,1981,4,13,8
10120,1981,4,14,0
10120,1981,4,15,0
10120,1981,4,16,0
10120,1981,4,17,3
10120,1981,4,18,43
10120,1981,4,19,0
10120,1981,4,20,14
10120,1981,4,21,0
10120,1981,4,22,0
10120,1981,4,23,0
10120,1981,4,24,0
10120,1981,4,25,0
10120,1981,4,26,0
10120,1981,4,27,0
10120,1981,4,28,0
10120,1981,4,29,0
10120,1981,4,30,0
10120,1981,5,1,0
10120,1981,5,2,2
10120,1981,5,3,0
10120,1981,5,4,0
10120,1981,5,5,0
10120,1981,5,6,0
10120,1981,5,7,0
10120,1981,5,8,0
10120,1981,5,9,0
10120,1981,5,10,62
10120,1981,5,11,6
10120,1981,5,12,3
10120,1981,5,13,0
10120,1981,5,14,58
10120,1981,5,15,46
10120,1981,5,16,5
10120,1981,5,17,27
10120,1981,5,18,25
10120,1981,5,19,0
10120,1981,5,20,0
10120,1981,5,21,0
10120,1981,5,22,0
10120,1981,5,23,0
10120,1981,5,24,6
10120,1981,5,25,37
10120,1981,5,26,0
10120,1981,5,27,60
10120,1981,5,28,96
10120,1981,5,29,13
10120,1981,5,30,140
10120,1981,5,31,9
10120,1981,6,1,0
10120,1981,6,2,0
10120,1981,6,3,0
10120,1981,6,4,0
10120,1981,6,5,0
10120,1981,6,6,0
10120,1981,6,7,22
10120,1981,6,8,0
10120,1981,6,9,0
10120,1981,6,10,0
10120,1981,6,11,0
10120,1981,6,12,0
10120,1981,6,13,0
10120,1981,6,14,0
10120,1981,6,15,0
10120,1981,6,16,0
10120,1981,6,17,3
10120,1981,6,18,0
10120,1981,6,19,0
10120,1981,6,20,0
10120,1981,6,21,0
10120,1981,6,22,0
10120,1981,6,23,4
10120,1981,6,24,1
10120,1981,6,25,15
10120,1981,6,26,2
10120,1981,6,27,50
10120,1981,6,28,1
10120,1981,6,29,5
10120,1981,6,30,0
10120,1981,7,1,0
10120,1981,7,2,51
10120,1981,7,3,72
10120,1981,7,4,61
10120,1981,7,5,75
10120,1981,7,6,0
10120,1981,7,7,0
10120,1981,7,8,0
10120,1981,7,9,0
10120,1981,7,10,0
10120,1981,7,11,0
10120,1981,7,12,0
10120,1981,7,13,0
10120,1981,7,14,25
10120,1981,7,15,39
10120,1981,7,16,99
10120,1981,7,17,50
10120,1981,7,18,56
10120,1981,7,19,35
10120,1981,7,20,24
10120,1981,7,21,0
10120,1981,7,22,0
10120,1981,7,23,14
10120,1981,7,24,0
10120,1981,7,25,0
10120,1981,7,26,0
10120,1981,7,27,34
10120,1981,7,28,0
10120,1981,7,29,60
10120,1981,7,30,0
10120,1981,7,31,20
10120,1981,8,1,0
10120,1981,8,2,0
10120,1981,8,3,0
10120,1981,8,4,0
10120,1981,8,5,0
10120,1981,8,6,0
10120,1981,8,7,0
10120,1981,8,8,0
10120,1981,8,9,0
10120,1981,8,10,0
10120,1981,8,11,0
10120,1981,8,12,25
10120,1981,8,13,0
10120,1981,8,14,6
10120,1981,8,15,4
10120,1981,8,16,0
10120,1981,8,17,10
10120,1981,8,18,4
10120,1981,8,19,2
10120,1981,8,20,3
10120,1981,8,21,8
10120,1981,8,22,21
10120,1981,8,23,40
10120,1981,8,24,79
10120,1981,8,25,20
10120,1981,8,26,15
10120,1981,8,27,10
10120,1981,8,28,1
10120,1981,8,29,0
10120,1981,8,30,30
10120,1981,8,31,11
10120,1981,9,1,0
10120,1981,9,2,31
10120,1981,9,3,5
10120,1981,9,4,9
10120,1981,9,5,0
10120,1981,9,6,0
10120,1981,9,7,0
10120,1981,9,8,9
10120,1981,9,9,4
10120,1981,9,10,0
10120,1981,9,11,40
10120,1981,9,12,0
10120,1981,9,13,6
10120,1981,9,14,18
10120,1981,9,15,0
10120,1981,9,16,0
10120,1981,9,17,0
10120,1981,9,18,18
10120,1981,9,19,0
10120,1981,9,20,8
10120,1981,9,21,0
10120,1981,9,22,0
10120,1981,9,23,0
10120,1981,9,24,0
10120,1981,9,25,0
10120,1981,9,26,0
10120,1981,9,27,1
10120,1981,9,28,22
10120,1981,9,29,1
10120,1981,9,30,42
10120,1981,10,1,0
10120,1981,10,2,0
10120,1981,10,3,0
10120,1981,10,4,0
10120,1981,10,5,0
10120,1981,10,6,0
10120,1981,10,7,0
10120,1981,10,8,0
10120,1981,10,9,0
10120,1981,10,10,0
10120,1981,10,11,0
10120,1981,10,12,0
10120,1981,10,13,0
10120,1981,10,14,0
10120,1981,10,15,0
10120,1981,10,16,0
10120,1981,10,17,0
10120,1981,10,18,0
10120,1981,10,19,0
10120,1981,10,20,0
10120,1981,10,21,0
10120,1981,10,22,0
10120,1981,10,23,0
10120,1981,10,24,0
10120,1981,10,25,0
