district,lat,lon
Dhaka,23.77,90.38
Tangail,24.25,89.92
Faridpur,23.6,89.85
Madaripur,23.17,90.18
Gopalganj,23.0155,89.835
Gazipur,24.0958,90
Chittagong,22.27,91.82
Jamalpur,24.92,89.96
Kishoregong,24.426,90.472
Rangamati,22.53,92.2
Comilla,23.43,91.18
Chandpur,23.27,90.7
Noakhali,22.87,91.1
Feni,23.03,91.42
Manikganj,23.86,90
Coxsbazar,21.43,91.93
Monshiganj,23.498,90
Narayanganj,23.62,90.5
Narsingdi,24.13,90.786
Rajbari,23.72,89.59
Bandarban,22.19643,92.21759
Sylhet,24.9,91.88
Maulvibazar,24.3,91.73
Mymensingh,24.72,90.43
Netrokona,24.88719,90.73292
Rajshahi,24.37,88.7
Pabna,24.01,89.26
Bogra,24.85,89.37
Shariatpur,23.24,90.43
Sirajgonj,24.31,89.5699
Rangpur,25.73,89.23
Dinajpur,25.65,88.68
Nilphamari,25.8,88.95
Kurigram,25.79744,89.63
Lalmonirhat,25.99,89.28
Panchagarh,26.27,88.595
Khulna,22.78,89.53
Sherpur,25.08,90.15
Satkhira,22.72,89.08
Jessore,23.18,89.17
Chuadanga,23.7,88.85
Kustia,23.89,89.1099
Barisal,22.75,90.37
Jhalokati,22.57,90.19
Patuakhali,22.22,90.45
Bhola,22.68,90.65
Joypurhat,25.09,89.09449
Naogaon,24.91,88.75
Natore,24,89.0076
Chapai,24.73,88.2
Gaibandha,25.329,89.54
Thakurgaon,26.04,88.428
Barguna,22.095,90.11
Pirojpur,22.579,89.975
Bbaria,23.96,91.11
Khagrachari,23.13,91.95
Lakshmipur,22.94,90.83
Habiganj,24.477,91.95
Sunamganj,25.07,91.399
Bagerhat,22.66,89.7895
Jhenaidah,23.54,89.17
Magura,23.485,89
Meherpur,23.805,88.672
Narail,23.1656,89.499
